ID;ParentID;Tipo;Secuencia;Descripción;Cliente;Vehículo;RefInterno;versión;Imagen;Consumo;Unidad;Sourcing;Código
915;906;Insumo;9; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.0032406; BI   ;; PPBL - 3B      
916;;Pieza Final;1;;VWA;;;;;;;;0242652-02-S443
917;916;Insumo;1; INSERTO PLASTICO DERECHO TAOS           ;VWA;;;;;1; UN   ;; 2GJ-868-110-B  
918;916;Insumo;2; VINILO BONDEADO TITAN NEGRO ESP 3MM     ;VWA;;;;;0.147; MTL  ;; 3MMML7N        
919;916;Insumo;3; ADHESIVO FA X 18 L.                     ;VWA;;;;;0.002574; BI   ;; AD - ADFA15    
920;916;Insumo;4; RETICULANTE GV X 0.6 KG                 ;VWA;;;;;0.002574; BO   ;; AD - REGV0.6   
921;916;Insumo;5; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;VWA;;;;;0.00014; ROLL ;; ET-SATO-100X60 
922;916;Insumo;6; ETIQUETA AUTOADHESIVA                   ;VWA;;;;;1; UN   ;; ET-SATO-50X20  
923;916;Insumo;7; HILO KRISTALLGRAU LINHANYL TEX158-20/3  ;VWA;;;;;0.00022; KG   ;; FX483TK-11230E 
924;916;Insumo;8; PRIMER PPBL 4 - PARTE A X 5 LTS         ;VWA;;;;;0.0032406; BI   ;; PPBL - 3A      
925;916;Insumo;9; PRIMER PPBL 4 - PARTE B X 180L          ;VWA;;;;;0.0032406; BI   ;; PPBL - 3B      
926;;Pieza Final;1;;VWA;;;;;;;;0242652-03-S443
927;926;Insumo;1; SANLEATHER III IS LE ML7 DE 1,00MM DE ES;VWA;;;;;0.1725; MTL  ;; 124.603.0163-5 
928;926;Insumo;2; INSERTO PLASTICO DERECHO TAOS           ;VWA;;;;;1; UN   ;; 2GJ-868-110-B  
929;926;Insumo;3; ADHESIVO FA X 18 L.                     ;VWA;;;;;0.002574; BI   ;; AD - ADFA15    
930;926;Insumo;4; RETICULANTE GV X 0.6 KG                 ;VWA;;;;;0.002574; BO   ;; AD - REGV0.6   
931;926;Insumo;5; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;VWA;;;;;0.00014; ROLL ;; ET-SATO-100X60 
932;926;Insumo;6; ETIQUETA AUTOADHESIVA                   ;VWA;;;;;1; UN   ;; ET-SATO-50X20  
933;926;Insumo;7; HILO KRISTALLGRAU LINHANYL TEX158-20/3  ;VWA;;;;;0.00022; KG   ;; FX483TK-11230E 
934;926;Insumo;8; PRIMER PPBL 4 - PARTE A X 5 LTS         ;VWA;;;;;0.0032406; BI   ;; PPBL - 3A      
935;926;Insumo;9; PRIMER PPBL 4 - PARTE B X 180L          ;VWA;;;;;0.0032406; BI   ;; PPBL - 3B      
936;;Pieza Final;1;;VWA;;;;;;;;0242652-03-V5JG
937;936;Insumo;1; SANLEATHER III IS LE CL68 DE 1,00MM DE E;VWA;;;;;0.1725; MTL  ;; 124.603.0162-3 
938;936;Insumo;2; INSERTO PLASTICO DERECHO TAOS           ;VWA;;;;;1; UN   ;; 2GJ-868-110-B  
939;936;Insumo;3; ADHESIVO FA X 18 L.                     ;VWA;;;;;0.002574; BI   ;; AD - ADFA15    
940;936;Insumo;4; RETICULANTE GV X 0.6 KG                 ;VWA;;;;;0.002574; BO   ;; AD - REGV0.6   
941;936;Insumo;5; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;VWA;;;;;0.00014; ROLL ;; ET-SATO-100X60 
942;936;Insumo;6; ETIQUETA AUTOADHESIVA                   ;VWA;;;;;1; UN   ;; ET-SATO-50X20  
943;936;Insumo;7; HILO CERAMIQUE 15/3                     ;VWA;;;;;0.00022; KG   ;; FX663TK-11317E 
944;936;Insumo;8; PRIMER PPBL 4 - PARTE A X 5 LTS         ;VWA;;;;;0.0032406; BI   ;; PPBL - 3A      
945;936;Insumo;9; PRIMER PPBL 4 - PARTE B X 180L          ;VWA;;;;;0.0032406; BI   ;; PPBL - 3B      
946;;Pieza Final;1;;;;;;;;;;0242657-02-S443
947;946;Insumo;1; SANVEO PE PR CL68 5,00MM DE ESPESOR Y 1,;;;;;;0.0356; MTL  ;; 124.549.0069-3 
948;946;Insumo;2; SUSTRATO PLASTICO LH                    ;;;;;;1; UN   ;; 2GJ-867-165-A  
949;946;Insumo;3; 5 PI CAI 12 KG Caja de 12 Kg            ;;;;;;0.0011; KG   ;; CQ-7080        
950;946;Insumo;4; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;8.75e-05; ROLL ;; ET-SATO-100X60 
951;946;Insumo;5; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
952;;Pieza Final;1;;;;;;;;;;0242658-02-S443
953;952;Insumo;1; SANVEO PE PR CL68 5,00MM DE ESPESOR Y 1,;;;;;;0.0356; MTL  ;; 124.549.0069-3 
954;952;Insumo;2; SUSTRATO PLASTICO RH                    ;;;;;;1; UN   ;; 2GJ-867-166-A  
955;952;Insumo;3; 5 PI CAI 12 KG Caja de 12 Kg            ;;;;;;0.0011; KG   ;; CQ-7080        
956;952;Insumo;4; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;8.75e-05; ROLL ;; ET-SATO-100X60 
957;952;Insumo;5; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
958;;Pieza Final;1;;;;;;;;;;0242659-02-S443
959;958;Insumo;1; SANVEO PE PR CL68 5,00MM DE ESPESOR Y 1,;;;;;;0.039; MTL  ;; 124.549.0069-3 
960;958;Insumo;2; SUSTRATO PLASTICO LH                    ;;;;;;1; UN   ;; 2GJ-867-363-A  
961;958;Insumo;3; CAJA CARTON 60 x 40 x 40                ;;;;;;0.033; UN   ;; C.C. 60 40 40  
962;958;Insumo;4; 5 PI CAI 12 KG Caja de 12 Kg            ;;;;;;0.0024; KG   ;; CQ-7080        
963;958;Insumo;5; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;8.75e-05; ROLL ;; ET-SATO-100X60 
964;958;Insumo;6; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
965;;Pieza Final;1;;;;;;;;;;0242660-02-S443
966;965;Insumo;1; SANVEO PE PR CL68 5,00MM DE ESPESOR Y 1,;;;;;;0.039; MTL  ;; 124.549.0069-3 
967;965;Insumo;2; SUSTRATO PLASTICO RH                    ;;;;;;1; UN   ;; 2GJ-867-364-A  
968;965;Insumo;3; CAJA CARTON 60 x 40 x 40                ;;;;;;0.033; UN   ;; C.C. 60 40 40  
969;965;Insumo;4; 5 PI CAI 12 KG Caja de 12 Kg            ;;;;;;0.0024; KG   ;; CQ-7080        
970;965;Insumo;5; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;8.75e-05; ROLL ;; ET-SATO-100X60 
971;965;Insumo;6; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
972;;Pieza Final;1;;;;;;;;;;0244520-02-V187
973;972;Insumo;1; INSERTO PLASTICO S/CANALETA APB BSUV LH ;;;;;;1; UN   ;; 0024439002-V187
974;972;Insumo;2; 5 PI CAI 12 KG Caja de 12 Kg            ;;;;;;0.0003; KG   ;; CQ-7080        
975;972;Insumo;3; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
976;972;Insumo;4; VINILO BONDEADO DIAMOND JET BLACK PU35 2;;;;;;0.17; MTS  ;; VB-DJB-PU35-2  
977;;Pieza Final;1;;;;;;;;;;0244521-02-V187
978;977;Insumo;1; INSERTO PLASTICO S/CANALETA APB BSUV RH ;;;;;;1; UN   ;; 0024439102-V187
979;977;Insumo;2; 5 PI CAI 12 KG Caja de 12 Kg            ;;;;;;0.0003; KG   ;; CQ-7080        
980;977;Insumo;3; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
981;977;Insumo;4; VINILO BONDEADO DIAMOND JET BLACK PU35 2;;;;;;0.17; MTS  ;; VB-DJB-PU35-2  
982;;Pieza Final;1;;;;;;;;;;0244522-02-638D
983;982;Insumo;1; INSERTO PLASTICO C/CANALETA APB BSUV LH ;;;;;;1; UN   ;; 0024439202-V187
984;982;Insumo;2; HILO JOIN (UNION) 100% POLIAMIDA (NYLON);;;;;;0.00015; KG   ;; B737-030-697YJ 
985;982;Insumo;3; 5 PI CAI 12 KG Caja de 12 Kg            ;;;;;;0.0003; KG   ;; CQ-7080        
986;982;Insumo;4; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
987;982;Insumo;5; HILO APB BSUV PORCELAIN BLUE            ;;;;;;0.00058; KG   ;; FX483TK-11775E 
988;982;Insumo;6; VINILO BONDEADO DIAMOND CAPTAIN BLUE PU3;;;;;;0.344; MTS  ;; VB-DCB-PU35-2  
989;;Pieza Final;1;;;;;;;;;;0244523-02-638D
990;989;Insumo;1; INSERTO PLASTICO C/CANALETA APB BSUV RH ;;;;;;1; UN   ;; 0024439302-V187
991;989;Insumo;2; HILO JOIN (UNION) 100% POLIAMIDA (NYLON);;;;;;0.00015; KG   ;; B737-030-697YJ 
992;989;Insumo;3; 5 PI CAI 12 KG Caja de 12 Kg            ;;;;;;0.0003; KG   ;; CQ-7080        
993;989;Insumo;4; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
994;989;Insumo;5; HILO APB BSUV PORCELAIN BLUE            ;;;;;;0.00058; KG   ;; FX483TK-11775E 
995;989;Insumo;6; VINILO BONDEADO DIAMOND CAPTAIN BLUE PU3;;;;;;0.344; MTS  ;; VB-DCB-PU35-2  
996;;Pieza Final;1;;;;;;;;;;0246891-01-V187
997;996;Insumo;1; TAPA CONSOLA BSUV PLASTICA              ;;;;;;1; UN   ;; 0023807801-000 
998;996;Insumo;2; HILO TAPA CONSOLA BSUV PORCELAIN BLUE   ;;;;;;0.00091; KG   ;; BX138-11775E   
999;996;Insumo;3; HILO TAPA CONSOLA BSUV JET BLACK        ;;;;;;0.0003; KG   ;; BX92-10972E    
1000;996;Insumo;4; GRAMPA DORKING 84-4.5                   ;;;;;;34; UN   ;; DK/1840450     
1001;996;Insumo;5; ETIQUETA AUTOADHESIVA                   ;;;;;;1; UN   ;; ET-SATO-50X20  
1002;996;Insumo;6; VINILO BONDEADO ARGOS JET BLACK PU35 2MM;;;;;;0.11; MTS  ;; VB-AJB-PU35-2  
1003;;Pieza Final;1;;;;;;;;;;0247607-03-FZHE
1004;1003;Insumo;1; SUSTRATO PLASTICO APB PUERTA P703 DEL IZ;;;;;;1; UN   ;; 0024764702-FZHE
1005;1003;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.079; MTL  ;; 124.602.0228-1 
1006;1003;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1007;1003;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1008;1003;Insumo;5; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.0006; KG   ;; BX69-11527E    
1009;1003;Insumo;6; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1010;1003;Insumo;7; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1011;1003;Insumo;8; TROQUELADO P703 DELANTERO IZQUIERDO     ;;;;;;1; UN   ;; TRO-024-D-IZQ  
1012;;Pieza Final;1;;;;;;;;;;0247607-04-FZHE
1013;1012;Insumo;1; SUSTRATO PLASTICO APB DEL IZQ           ;;;;;;1; UN   ;; 00247647-03-FZH
1014;1012;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.079; MTL  ;; 124.602.0228-1 
1015;1012;Insumo;3; Fitimpress TR AC 50G FITIM RL 1170m x 10;;;;;;0.05; ROLL ;; 3M-HB004040869 
1016;1012;Insumo;4; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1017;1012;Insumo;5; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1018;1012;Insumo;6; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.006; KG   ;; BX69-11527E    
1019;1012;Insumo;7; PLACA DE ESPUMA PU 60 KG/M3 ESP 4 MM 0.5;;;;;;0.0125; UN   ;; ES-P-60-4-01   
1020;1012;Insumo;8; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1021;1012;Insumo;9; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1022;1012;Insumo;10; PLACA HDPE ESPESOR 1.5 MM 2X1 MTS       ;;;;;;0.035625; KG   ;; HDPE-1.5-2X1   
1023;;Pieza Final;1;;;;;;;;;;0247608-03-FZHE
1024;1023;Insumo;1; SUSTRATO PLASTICO APB PUERTA P703 DEL DE;;;;;;1; UN   ;; 0024764802-FZHE
1025;1023;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.079; MTL  ;; 124.602.0228-1 
1026;1023;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1027;1023;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1028;1023;Insumo;5; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.0006; KG   ;; BX69-11527E    
1029;1023;Insumo;6; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1030;1023;Insumo;7; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1031;1023;Insumo;8; TROQUELADO P703 DELANTERO DERECHO       ;;;;;;1; UN   ;; TRO-024-D-DER  
1032;;Pieza Final;1;;;;;;;;;;0247608-04-FZHE
1033;1032;Insumo;1; SUSTRATO PLASTICO APB DEL DER           ;;;;;;1; UN   ;; 00247648-03-FZH
1034;1032;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.079; MTL  ;; 124.602.0228-1 
1035;1032;Insumo;3; Fitimpress TR AC 50G FITIM RL 1170m x 10;;;;;;0.05; ROLL ;; 3M-HB004040869 
1036;1032;Insumo;4; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1037;1032;Insumo;5; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1038;1032;Insumo;6; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.006; KG   ;; BX69-11527E    
1039;1032;Insumo;7; PLACA DE ESPUMA PU 60 KG/M3 ESP 4 MM 0.5;;;;;;0.0125; UN   ;; ES-P-60-4-01   
1040;1032;Insumo;8; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1041;1032;Insumo;9; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1042;1032;Insumo;10; PLACA HDPE ESPESOR 1.5 MM 2X1 MTS       ;;;;;;0.035625; KG   ;; HDPE-1.5-2X1   
1043;;Pieza Final;1;;;;;;;;;;0247609-03-FZHE
1044;1043;Insumo;1; SUSTRATO PLASTICO APB PUERTA P703 DEL IZ;;;;;;1; UN   ;; 0024764702-FZHE
1045;1043;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.079; MTL  ;; 124.602.0228-1 
1046;1043;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1047;1043;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1048;1043;Insumo;5; HILO VISTA URBEN GREY TEX 181- 20/3 (P70;;;;;;0.0005; KG   ;; BX138A-1530E   
1049;1043;Insumo;6; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.0006; KG   ;; BX69-11527E    
1050;1043;Insumo;7; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1051;1043;Insumo;8; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1052;1043;Insumo;9; TROQUELADO P703 DELANTERO IZQUIERDO     ;;;;;;1; UN   ;; TRO-024-D-IZQ  
1053;;Pieza Final;1;;;;;;;;;;0247609-04-FZHE
1054;1053;Insumo;1; SUSTRATO PLASTICO APB DEL IZQ           ;;;;;;1; UN   ;; 00247647-03-FZH
1055;1053;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.079; MTL  ;; 124.602.0228-1 
1056;1053;Insumo;3; Fitimpress TR AC 50G FITIM RL 1170m x 10;;;;;;0.05; ROLL ;; 3M-HB004040869 
1057;1053;Insumo;4; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1058;1053;Insumo;5; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1059;1053;Insumo;6; HILO VISTA URBEN GREY TEX 181- 20/3 (P70;;;;;;0.005; KG   ;; BX138A-1530E   
1060;1053;Insumo;7; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.006; KG   ;; BX69-11527E    
1061;1053;Insumo;8; PLACA DE ESPUMA PU 60 KG/M3 ESP 4 MM 0.5;;;;;;0.0125; UN   ;; ES-P-60-4-01   
1062;1053;Insumo;9; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1063;1053;Insumo;10; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1064;1053;Insumo;11; PLACA HDPE ESPESOR 1.5 MM 2X1 MTS       ;;;;;;0.035625; KG   ;; HDPE-1.5-2X1   
1065;;Pieza Final;1;;;;;;;;;;0247610-03-FZHE
1066;1065;Insumo;1; SUSTRATO PLASTICO APB PUERTA P703 DEL DE;;;;;;1; UN   ;; 0024764802-FZHE
1067;1065;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.079; MTL  ;; 124.602.0228-1 
1068;1065;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1069;1065;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1070;1065;Insumo;5; HILO VISTA URBEN GREY TEX 181- 20/3 (P70;;;;;;0.0005; KG   ;; BX138A-1530E   
1071;1065;Insumo;6; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.0006; KG   ;; BX69-11527E    
1072;1065;Insumo;7; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1073;1065;Insumo;8; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1074;1065;Insumo;9; TROQUELADO P703 DELANTERO DERECHO       ;;;;;;1; UN   ;; TRO-024-D-DER  
1075;;Pieza Final;1;;;;;;;;;;0247610-04-FZHE
1076;1075;Insumo;1; SUSTRATO PLASTICO APB DEL DER           ;;;;;;1; UN   ;; 00247648-03-FZH
1077;1075;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.079; MTL  ;; 124.602.0228-1 
1078;1075;Insumo;3; Fitimpress TR AC 50G FITIM RL 1170m x 10;;;;;;0.05; ROLL ;; 3M-HB004040869 
1079;1075;Insumo;4; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1080;1075;Insumo;5; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1081;1075;Insumo;6; HILO VISTA URBEN GREY TEX 181- 20/3 (P70;;;;;;0.005; KG   ;; BX138A-1530E   
1082;1075;Insumo;7; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.006; KG   ;; BX69-11527E    
1083;1075;Insumo;8; PLACA DE ESPUMA PU 60 KG/M3 ESP 4 MM 0.5;;;;;;0.0125; UN   ;; ES-P-60-4-01   
1084;1075;Insumo;9; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1085;1075;Insumo;10; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1086;1075;Insumo;11; PLACA HDPE ESPESOR 1.5 MM 2X1 MTS       ;;;;;;0.035625; KG   ;; HDPE-1.5-2X1   
1087;;Pieza Final;1;;;;;;;;;;0247611-03-FZHE
1088;1087;Insumo;1; SUSTRATO PLASTICO APB PUERTA P703 TRAS I;;;;;;1; UN   ;; 0024767402-FZHE
1089;1087;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.089; MTL  ;; 124.602.0228-1 
1090;1087;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1091;1087;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1092;1087;Insumo;5; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.0006; KG   ;; BX69-11527E    
1093;1087;Insumo;6; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1094;1087;Insumo;7; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1095;1087;Insumo;8; TROQUELADO P703 TRASERO IZQUIERDO       ;;;;;;1; UN   ;; TRO-024-T-IZQ  
1096;;Pieza Final;1;;;;;;;;;;0247611-04-FZHE
1097;1096;Insumo;1; SUSTRATO PLASTICO APB TRAS IZQ          ;;;;;;1; UN   ;; 00247674-03-FZH
1098;1096;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.089; MTL  ;; 124.602.0228-1 
1099;1096;Insumo;3; Fitimpress TR AC 50G FITIM RL 1170m x 10;;;;;;0.025; ROLL ;; 3M-HB004040869 
1100;1096;Insumo;4; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1101;1096;Insumo;5; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1102;1096;Insumo;6; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.006; KG   ;; BX69-11527E    
1103;1096;Insumo;7; PLACA DE ESPUMA PU 60 KG/M3 ESP 4 MM 0.5;;;;;;0.0125; UN   ;; ES-P-60-4-01   
1104;1096;Insumo;8; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1105;1096;Insumo;9; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1106;;Pieza Final;1;;;;;;;;;;0247612-03-FZHE
1107;1106;Insumo;1; SUSTRATO PLASTICO APB PUERTA P703 TRAS D;;;;;;1; UN   ;; 0024767302-FZHE
1108;1106;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.089; MTL  ;; 124.602.0228-1 
1109;1106;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1110;1106;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1111;1106;Insumo;5; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.0006; KG   ;; BX69-11527E    
1112;1106;Insumo;6; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1113;1106;Insumo;7; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1114;1106;Insumo;8; TROQUELADO P703 TRASERO DERECHO         ;;;;;;1; UN   ;; TRO-024-T-DER  
1115;;Pieza Final;1;;;;;;;;;;0247612-04-FZHE
1116;1115;Insumo;1; SUSTRATO PLASITCO APB TRAS DER          ;;;;;;1; UN   ;; 00247673-03-FZH
1117;1115;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.089; MTL  ;; 124.602.0228-1 
1118;1115;Insumo;3; Fitimpress TR AC 50G FITIM RL 1170m x 10;;;;;;0.025; ROLL ;; 3M-HB004040869 
1119;1115;Insumo;4; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1120;1115;Insumo;5; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1121;1115;Insumo;6; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.006; KG   ;; BX69-11527E    
1122;1115;Insumo;7; PLACA DE ESPUMA PU 60 KG/M3 ESP 4 MM 0.5;;;;;;0.0125; UN   ;; ES-P-60-4-01   
1123;1115;Insumo;8; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1124;1115;Insumo;9; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1125;;Pieza Final;1;;;;;;;;;;0247613-03-FZHE
1126;1125;Insumo;1; SUSTRATO PLASTICO APB PUERTA P703 TRAS I;;;;;;1; UN   ;; 0024767402-FZHE
1127;1125;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.089; MTL  ;; 124.602.0228-1 
1128;1125;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1129;1125;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1130;1125;Insumo;5; HILO VISTA URBEN GREY TEX 181- 20/3 (P70;;;;;;0.0005; KG   ;; BX138A-1530E   
1131;1125;Insumo;6; HILO UNION NEGRO TEX 70 - 40/3 (P703)   ;;;;;;0.0006; KG   ;; BX69-11527E    
1132;1125;Insumo;7; ETIQUETA TERMICA 100X60 IMPRESORA SATO  ;;;;;;4.12e-05; ROLL ;; ET-SATO-100X60 
1133;1125;Insumo;8; ETIQUETA AUTOADHESIVA                   ;;;;;;2; UN   ;; ET-SATO-50X20  
1134;1125;Insumo;9; TROQUELADO P703 TRASERO IZQUIERDO       ;;;;;;1; UN   ;; TRO-024-T-IZQ  
1135;;Pieza Final;1;;;;;;;;;;0247613-04-FZHE
1136;1135;Insumo;1; SUSTRATO PLASTICO APB TRAS IZQ          ;;;;;;1; UN   ;; 00247674-03-FZH
1137;1135;Insumo;2; VINILO SANSUY SANFOAM PREMIUM III CL100 ;;;;;;0.089; MTL  ;; 124.602.0228-1 
1138;1135;Insumo;3; Fitimpress TR AC 50G FITIM RL 1170m x 10;;;;;;0.025; ROLL ;; 3M-HB004040869 
1139;1135;Insumo;4; ADHESIVO FA X 18 L.                     ;;;;;;0.00083; BI   ;; AD - ADFA15    
1140;1135;Insumo;5; RETICULANTE GV X 0.6 KG                 ;;;;;;0.00083; BO   ;; AD - REGV0.6   
1141;1135;Insumo;6; HILO VISTA URBEN GREY TEX 181- 20/3 (P70;;;;;;0.005; KG   ;; BX138A-1530E   
